Czasy podano w microsekukndach
GA Symmetric
L.miast	Rozwiazanie	Populacja	Mutacja%	Krzyzowanie%
17	3435	10	0.010000	0.550000	
17	3446	10	0.010000	0.750000	
17	3382	10	0.010000	0.950000	
17	3078	10	0.050000	0.550000	
17	2948	10	0.050000	0.750000	
17	3058	10	0.050000	0.950000	
17	3035	10	0.100000	0.550000	
17	3002	10	0.100000	0.750000	
17	2952	10	0.100000	0.950000	
48	17102	10	0.010000	0.550000	
48	17182	10	0.010000	0.750000	
48	16801	10	0.010000	0.950000	
48	17005	10	0.050000	0.550000	
48	16966	10	0.050000	0.750000	
48	16384	10	0.050000	0.950000	
48	16562	10	0.100000	0.550000	
48	16767	10	0.100000	0.750000	
48	16458	10	0.100000	0.950000	
48	15180	20	0.010000	0.550000	
48	14650	20	0.010000	0.750000	
48	14351	20	0.010000	0.950000	
